Measurement label:,Left,
Configuration date:,2018. 8. 2. 오후 1:54:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-1.666933594,-8.804091797,2.423759766
-1.250200195,-8.665180664,1.925595703
-1.307680664,-8.828041992,2.227368164
-0.934057617,-9.034013672,2.428549805
-0.934057617,-10.06866211,2.783012695
-1.163979492,-9.987231445,2.696791992
-1.183139648,-9.881850586,2.524350586
-1.58550293,-9.364526367,2.826123047
-1.614243164,-8.986113281,2.481240234
-1.187929688,-8.535849609,2.85965332
-1.202299805,-8.602910156,3.281176758
-1.02027832,-9.441166992,2.902763672
-0.809516602,-9.790839844,2.653681641
0.023950195,-10.60035645,3.070415039
-0.613125,-9.335786133,2.711162109
-1.101708984,-7.381450195,0.81909668
-1.039438477,-8.933422852,1.508862305
-0.814306641,-9.125024414,2.55309082
-0.704135742,-9.292675781,3.01293457
-0.445473633,-9.273515625,2.854863281
-0.464633789,-9.273515625,2.945874023
-0.526904297,-9.235195313,3.132685547
-0.694555664,-9.134604492,3.27159668
-0.517324219,-9.168134766,3.132685547
-0.268242188,-9.474697266,3.329077148
-0.3065625,-9.445957031,3.535048828
-0.732875977,-9.220825195,3.721860352
-0.761616211,-9.24956543,3.616479492
-0.742456055,-9.40284668,3.621269531
-0.641865234,-9.345366211,3.558999023
-0.354462891,-9.010063477,3.597319336
-0.656235352,-9.115444336,3.817661133
-0.330512695,-8.756191406,3.889511719
-0.464633789,-8.435258789,3.908671875
-0.464633789,-8.823251953,3.793710938
-0.474213867,-8.866362305,3.822451172
-0.364042969,-8.919052734,3.769760742
-0.771196289,-8.765771484,3.994892578
-1.087338867,-8.928632813,4.263134766
-1.039438477,-8.804091797,3.961362305
-0.502954102,-8.904682617,3.975732422
-0.617915039,-9.038803711,4.34456543
-0.584384766,-9.148974609,4.320615234
-1.154399414,-9.216035156,4.818779297
-2.064506836,-8.78972168,5.091811523
-2.155517578,-8.411308594,4.933740234
-2.035766602,-8.372988281,4.373305664
-1.460961914,-8.578959961,4.047583008
-0.958007813,-8.818461914,3.707490234
-0.967587891,-8.986113281,3.750600586
-1.068178711,-8.732241211,4.119433594
-1.101708984,-8.875942383,4.220024414
-1.197509766,-8.804091797,4.478686523
-0.958007813,-8.258027344,5.374423828
-1.063388672,-8.856782227,5.139711914
-1.015488281,-8.938212891,5.11097168
-1.360371094,-8.73703125,4.722978516
-1.211879883,-8.478369141,4.540957031
-1.283730469,-8.545429688,4.65112793
-1.144819336,-8.775351563,4.081113281
-1.298100586,-8.760981445,4.325405273
-1.422641602,-8.440048828,4.612807617
-1.250200195,-7.956254883,4.584067383
-1.264570313,-8.487949219,4.646337891
-1.149609375,-9.340576172,4.847519531
-1.029858398,-8.693920898,4.536166992
-1.12565918,-8.502319336,5.321733398
-0.565224609,-8.243657227,4.737348633
-1.025068359,-7.429350586,5.096601563
-0.737666016,-8.243657227,4.215234375
-0.799936523,-9.053173828,4.315825195
-0.938847656,-7.625742188,3.798500977
-0.71371582,-8.784931641,4.526586914
-0.258662109,-8.708291016,4.430786133
-0.522114258,-8.689130859,3.946992188
-0.613125,-8.349038086,3.664379883
-0.579594727,-8.167016602,3.463198242
-0.364042969,-8.722661133,3.903881836
-0.541274414,-8.794511719,4.200864258
-0.613125,-8.511899414,4.186494141
-0.598754883,-8.559799805,4.425996094
-0.862207031,-8.741821289,4.775668945
-0.934057617,-9.09628418,5.05828125
-0.86699707,-9.163344727,5.235512695
-1.02027832,-9.067543945,5.101391602
-1.02027832,-9.311835938,4.895419922
-1.058598633,-8.83762207,4.876259766
-1.144819336,-8.866362305,4.952900391
-1.17355957,-8.133486328,4.857099609
-1.508862305,-8.382568359,4.229604492
-1.398691406,-8.555009766,3.032094727
-1.48012207,-8.214916992,4.330195313
-1.997446289,-19.15057617,6.33722168
-1.369951172,-7.285649414,2.610571289
-1.523232422,-6.365961914,4.665498047
-1.767524414,-7.347919922,6.509663086
-6.64378418,-7.141948242,4.881049805
-1.077758789,-7.654482422,8.804091797
-0.603544922,-7.065307617,7.932304688
-0.646655273,-6.342011719,7.941884766
-0.426313477,-5.642666016,6.854545898
0.091010742,-6.370751953,6.212680664
-0.843046875,-6.835385742,7.036567383
-0.35925293,-5.187612305,5.508544922
-0.244291992,-5.915698242,5.934858398
-3.420087891,-2.327958984,10.06387207
-1.221459961,-6.744375,6.409072266
-1.355581055,-4.828359375,6.615043945
-0.234711914,-5.31215332,7.529941406
-2.040556641,-12.20980957,11.16079102
-4.579277344,-6.294111328,10.69136719
-0.905317383,-4.507426758,7.448510742
-1.187929688,-3.822451172,6.79706543
0.641865234,-5.350473633,9.24956543
-1.408271484,-4.756508789,9.307045898
-2.380649414,-4.943320313,8.976533203
-0.570014648,-4.746928711,8.200546875
-0.637075195,-3.630849609,6.84496582
0.416733398,-3.870351563,6.456972656
-0.364042969,-3.975732422,7.932304688
-0.886157227,-4.215234375,7.812553711
-2.821333008,-2.682421875,8.253237305
-2.395019531,-3.798500977,8.94300293
-1.580712891,-7.007827148,6.854545898
-2.371069336,-4.421206055,7.462880859
-2.96503418,-4.65112793,8.478369141
-2.007026367,-2.337539063,8.152646484
-2.304008789,-4.19128418,8.214916992
-2.644101563,-5.00559082,7.587421875
-2.174677734,-4.488266602,7.884404297
-2.481240234,-4.871469727,7.697592773
-2.514770508,-4.799619141,7.769443359
-2.509980469,-4.866679688,8.181386719
-2.486030273,-4.708608398,8.229287109
-2.509980469,-4.339775391,7.841293945
-2.830913086,-3.309916992,7.846083984
-2.275268555,-3.942202148,8.262817383
-2.169887695,-3.281176758,8.392148438
-2.509980469,-2.955454102,8.741821289
-2.653681641,-3.041674805,9.168134766
-2.404599609,-2.4525,9.330996094
-2.596201172,-2.720742188,9.992021484
-2.548300781,-2.486030273,11.00750977
-3.051254883,-1.743574219,11.22306152
-2.395019531,-0.335302734,9.728569336
-1.935175781,-0.268242188,10.60514648
-3.01293457,0.167651367,9.872270508
-2.438129883,0.637075195,9.580078125
-2.663261719,0.656235352,9.55612793
-2.428549805,0.9196875,8.957373047
-2.404599609,1.523232422,9.129814453
-1.791474609,1.753154297,9.479487305
-3.300336914,1.978286133,7.903564453
-0.483793945,2.323168945,10.55245605
-0.589174805,1.369951172,9.987231445
-1.22625,1.264570313,9.920170898
-1.676513672,3.156635742,7.755073242
-1.762734375,3.750600586,6.811435547
-0.76640625,2.653681641,5.795947266
-1.681303711,3.27159668,6.557563477
-2.797382813,4.181704102,8.17659668
-3.400927734,4.325405273,8.382568359
-2.883603516,3.855981445,8.267607422
-2.035766602,3.467988281,8.358618164
-1.460961914,3.151845703,8.344248047
-1.298100586,3.21890625,9.168134766
-1.403481445,3.008144531,8.02331543
-2.945874023,4.631967773,6.974296875
-2.19862793,3.563789063,6.461762695
-1.393901367,2.821333008,7.228168945
-1.365161133,2.356699219,9.671088867
-1.101708984,1.762734375,11.90803711
-1.106499023,1.441801758,12.20022949
-0.455053711,1.211879883,11.41466309
-0.589174805,1.154399414,11.3188623
-1.082548828,0.996328125,11.55357422
-1.619033203,1.106499023,12.28166016
-1.590292969,1.130449219,12.13795898
-1.264570313,0.804726563,11.80744629
-1.082548828,0.522114258,11.91282715
-0.699345703,-0.387993164,12.06131836
0.397573242,-1.346000977,10.43749512
0.383203125,0.047900391,8.162226563
1.274150391,0.143701172,8.650810547
1.518442383,-0.282612305,8.732241211
0.823886719,0.014370117,8.703500977
-3.664379883,-4.948110352,4.488266602
-0.785566406,1.245410156,12.27687012
-3.132685547,-0.910107422,10.06866211
-1.58550293,1.595083008,9.637558594
2.208208008,1.187929688,12.44931152
-2.600991211,0.823886719,9.776469727
-0.929267578,2.030976563,9.345366211
-0.40715332,1.724414063,9.776469727
-0.996328125,-0.20597168,9.977651367
-0.249082031,-0.56043457,10.31774414
-1.547182617,1.748364258,9.268725586
-2.337539063,2.275268555,8.861572266
-2.155517578,-3.238066406,16.75555664
2.529140625,0.570014648,14.46591797
2.121987305,2.864443359,6.878496094
-0.881367188,0.249082031,11.21827148
1.044228516,2.471660156,9.5034375
0.507744141,0.431103516,9.915380859
-0.498164063,-0.110170898,10.0303418
-0.239501953,0.507744141,9.819580078
-0.320932617,0.493374023,9.81
-0.210761719,0.440683594,9.886640625
-0.134121094,0.435893555,9.905800781
-0.148491211,0.292192383,9.987231445
-0.196391602,0.316142578,10.0063916
-0.273032227,0.546064453,9.867480469
-0.234711914,0.589174805,9.853110352
-0.220341797,0.570014648,9.718989258
-0.210761719,0.550854492,9.905800781
-0.20597168,0.455053711,9.848320313
-0.191601563,0.3065625,9.881850586
-0.229921875,0.344882813,9.771679688
-0.186811523,0.416733398,9.924960938
-0.162861328,0.526904297,9.81
-0.244291992,0.584384766,9.824370117
-0.225131836,0.646655273,9.891430664
-0.215551758,0.498164063,9.833950195
-0.201181641,0.364042969,9.905800781
-0.239501953,0.402363281,9.824370117
-0.162861328,0.373623047,9.920170898
-0.148491211,0.421523438,9.766889648
-0.191601563,0.51253418,9.891430664
-0.234711914,0.608334961,9.838740234
-0.220341797,0.546064453,9.853110352
-0.244291992,0.474213867,9.853110352
-0.191601563,0.416733398,9.987231445
-0.225131836,0.378413086,9.800419922
-0.191601563,0.368833008,9.766889648
