Measurement label:,Right,
Configuration date:,2018. 8. 2. 오후 1:55:00,
Delay before start logging:,0 min,
Frequency:,100 Hz,
Accelerometer FS:,16G,
Gyroscope FS:,4000dps,
Accelerometer x,Accelerometer y,Accelerometer z
-3.9853125,-7.606582031,7.175478516
-3.975732422,-7.908354492,6.13125
-3.860771484,-6.557563477,5.87737793
-3.73144043,-5.106181641,5.954018555
-3.515888672,-5.695356445,6.260581055
-3.573369141,-6.456972656,6.959926758
-2.533930664,-6.279741211,7.688012695
-2.409389648,-5.609135742,7.065307617
-2.596201172,-5.168452148,7.486831055
-2.739902344,-5.36484375,7.755073242
-2.50519043,-5.393583984,7.721542969
-2.232158203,-5.31215332,7.625742188
-2.083666992,-5.331313477,7.386240234
-2.121987305,-5.331313477,7.285649414
-2.35190918,-5.043911133,7.400610352
-2.442919922,-5.130131836,7.711962891
-2.7590625,-4.976850586,7.788603516
-2.29921875,-4.493056641,7.232958984
-1.207089844,-3.357817383,7.386240234
-2.988984375,-5.31215332,7.30480957
-2.524350586,-4.909790039,7.515571289
-2.600991211,-4.900209961,7.448510742
-2.581831055,-4.03800293,7.419770508
-2.864443359,-4.622387695,7.826923828
-2.60578125,-4.358935547,8.243657227
-2.356699219,-2.136357422,4.152963867
-3.276386719,-4.813989258,8.305927734
-2.768642578,-5.106181641,7.908354492
-2.256108398,-4.210444336,7.874824219
-2.567460938,-4.406835938,7.980205078
-3.309916992,-3.62605957,7.802973633
-3.511098633,-3.47277832,7.735913086
-3.003354492,-4.119433594,7.802973633
-2.955454102,-4.114643555,7.970625
-3.161425781,-3.851191406,8.004155273
-3.262016602,-4.129013672,7.874824219
-3.204536133,-3.83203125,8.167016602
-2.251318359,-4.004472656,8.143066406
-2.366279297,-4.919370117,8.73703125
-2.596201172,-4.416416016,8.708291016
-3.602109375,-3.611689453,8.559799805
-2.490820313,-3.621269531,7.884404297
-2.883603516,-3.788920898,8.186176758
-2.874023438,-3.640429688,8.258027344
-2.840493164,-3.448828125,8.296347656
-3.070415039,-3.113525391,8.205336914
-2.984194336,-3.262016602,8.305927734
-2.893183594,-3.405717773,8.339458008
-3.022514648,-2.950664063,8.392148438
-2.998564453,-3.027304688,8.425678711
-2.878813477,-3.3721875,8.593330078
-2.548300781,-3.262016602,8.133486328
-2.735112305,-2.926713867,8.516689453
-2.854863281,-3.051254883,8.564589844
-3.127895508,-2.974614258,8.43046875
-3.132685547,-2.917133789,8.267607422
-2.998564453,-2.720742188,8.114326172
-2.869233398,-2.241738281,8.229287109
-3.300336914,-3.496728516,8.617280273
-3.549418945,-2.361489258,7.807763672
-3.175795898,-1.968706055,7.462880859
-2.653681641,-0.953217773,7.577841797
-2.988984375,-3.736230469,8.73703125
-3.635639648,-3.132685547,8.540639648
-3.032094727,-3.966152344,9.172924805
-3.530258789,-3.396137695,7.855664063
-3.31949707,-3.640429688,8.157436523
-3.697910156,-3.353027344,8.17659668
-3.621269531,-3.439248047,8.229287109
-3.535048828,-2.816542969,8.119116211
-3.67875,-2.524350586,7.836503906
-3.88472168,-3.362607422,8.267607422
-3.73144043,-2.921923828,8.133486328
-3.554208984,-3.88472168,8.22449707
-3.290756836,-3.841611328,7.793393555
-3.539838867,-2.701582031,6.921606445
-4.090693359,-3.918251953,7.893984375
-4.109853516,-4.162543945,7.874824219
-3.918251953,-4.19128418,8.056845703
-3.918251953,-3.822451172,8.238867188
